episode,reward,M
490,1208.4964240775191,4
447,1184.1295370911917,4
1275,1574.9531113187666,4
320,1620.8903794984458,4
1288,1176.2258866412826,4
281,1758.0439352958715,4
1713,1723.6108863058716,4
860,1327.8375909276338,4
451,1717.5458725611277,4
486,1370.3567312466525,4
482,1294.9821072151872,4
1689,1593.0039011659194,4
2419,1607.3351877499204,4
327,963.8798098726024,4
469,803.9121140936902,4
26,1241.3973011220658,4
737,1365.5839943836074,4
656,1558.766014269124,4
124,1237.701515587258,4
27,1546.2916348157792,4
2356,1256.6852040631752,4
326,1156.7593673670285,4
537,1137.7716656262496,4
899,1193.768360194282,4
1570,1700.6608969586382,4
1612,1270.6319342406591,4
1606,1595.311209287422,4
382,1185.640748870289,4
396,1335.0688539033674,4
427,1547.2173838166211,4
553,1432.5696637042445,4
354,1109.9635550704359,4
1826,1591.3009534313019,4
422,1184.639757619659,4
1615,1641.1474060582905,4
436,1309.8412484153025,4
2081,1542.010517454921,4
1577,1212.3663490708227,4
768,1543.0964183213237,4
218,1147.0900187766044,4
1748,1567.661802863596,4
1774,1165.0802714179574,4
1953,1280.3566815916956,4
769,1342.264433494799,4
999,1230.1480835758175,4
78,1524.7093645862049,4
186,697.3997734898115,4
810,1069.6382984070278,4
2055,1220.8007860370965,4
555,1731.4911499815278,4
1004,1600.7732117086084,4
1038,1795.7079902038422,4
2083,1389.618429512365,4
1168,1199.7539194660249,4
808,1470.768757308265,4
767,1571.93209129319,4
565,774.8404086054495,4
1545,1560.033531375573,4
1586,1153.2560269688445,4
1394,1306.4253336803824,4
835,1133.8611717913188,4
374,1474.3812539741086,4
604,1112.2722121792717,4
200,1540.8498936795868,4
349,923.6926290964399,4
1387,1266.5371904134718,4
2088,1516.6876003773664,4
589,1382.0689168550814,4
1392,1467.3717039324551,4
212,1410.5265142391288,4
763,1247.4877134773778,4
159,1423.6218492390328,4
429,1372.9416470051306,4
102,1549.023576384203,4
1241,1262.1962652416787,4
1094,1379.9051659463614,4
275,932.3548703083104,4
2007,1684.9043493344884,4
315,1062.350127934378,4
1108,1264.4866538060699,4
317,1831.4856451158466,4
101,1300.5271089553592,4
934,1588.6136381334222,4
1295,1654.3244827057654,4
1732,1777.0374482394834,4
1055,1592.0259577812271,4
1445,1316.1479958316925,4
2164,1747.93108280359,4
474,1018.9723251715302,4
1333,1500.1383660055294,4
1469,1770.0058158741406,4
703,969.9782224560088,4
307,1396.9622982996234,4
339,1114.5459782839944,4
729,1410.660648179265,4
1053,1509.538530024644,4
660,1211.9184292366851,4
11,1309.0352726024194,4
476,1364.9533811922004,4
2386,1275.0054481283962,8
862,1421.5607401712257,8
137,824.3293780846857,8
2391,1385.428837193367,8
1303,1137.0284052791424,8
1713,1296.4259961279902,8
653,1759.2587772023016,8
2192,1122.5969738174383,8
492,1223.4478006463285,8
253,1315.3412144575725,8
508,1291.5865301821914,8
534,1213.9010348368715,8
1273,1507.023039855372,8
33,1478.824732012074,8
865,1540.8520185921607,8
1663,1450.4135613833735,8
2395,1335.1440685682167,8
697,1267.9358455396305,8
1729,1460.336797956445,8
655,1044.82740298377,8
24,1076.0668554234676,8
418,1502.2795456928513,8
80,944.3263168226068,8
632,1078.5415507426187,8
544,1037.827215542243,8
223,920.2651048298433,8
155,1651.1196351736435,8
1606,1380.1548949445166,8
369,1345.8972223348844,8
180,1279.0100306184936,8
631,1492.0079126477945,8
1572,1033.0313263169478,8
